UID,Year,Type,l_urban,l_agri,l_urd,l_rd,l_glf,c_urban,c_agri,c_urd,c_rd,c_glf,wast,dam,damdist,fn,b_urban,b_agri,b_urd,b_rd,b_glf,l_over,l_swi,l_dd,l_rock,l_wtr,l_dec,l_con,l_bog,l_grg,l_da,c_over,c_swi,c_dd,c_rock,c_wtr,c_dec,c_con,c_bog,c_slp,c_da,strahl,11Strp,AH,GBF,b_over,b_swi,b_dd,b_rock,b_wtr,b_dec,b_con,b_bog,b_slp,lat,lon,elev,sdepth,DS,2DS,PCmed,Me,Mrf,Ms,wood,det,Afi,Aa,ALKT,Ca,Cl,COND,DOC,TKN,pH,TP,Aeshn,Ancyl,Asell,Baeti1,Baeti2,Belos,Bithy,Brach,Caeni,Calop,Camba,Capni,Cerat,Chaob,Chlor,Chrys,Curcu,Coena,Cordu1,Cordu2,Corix,Coryd,Cramb,Crang,Culic,Dipse,Dixid,Dolic,Dytis,Elmid,Empid,Ephem1,Ephem2,Ephyd,Erpob,Gamma,Gerri,Gloss1,Gloss2,Gomph,Gyrin,Haemo,Halip,Helic,Hepta,Hyale,Arach,Hydra,Hydro1,Coele,Hydro2,Hydro3,Hydro4,Isony,Lepid,Lepto1,Lepto2,Lepto3,Lesti,Leuct,Libel,Limne,Lymna,Macro,Metre,Molan,Musci,Oligo,Nemat,Nemou,Noton,Perli,Perlo,Philo,Phryg,Physi,Pisci,Plano,Pleid,Polyc,Pseph,Psych1,Psych2,Ptych,Pyral,Rhyac,Sabel,Saldi,Sciom,Scirt,Seric,Siali,Simul,Siphl,Sisyr,Sphae,Taban,Tipul,Platy,Union,Valva,Velii,Vivip,Chiro,Ortho,Tanyp,Amph,Chir,CIGH,EOT,Insect,NHC,Rich100,PCoA1,PCoA2,CA1,CA2,EPT,HBI,Bw,FC,GC,P,SC,SH
L210DB,2012,Lake,6.38,0.93,0.00045968,0.000980553,0,1.05,0.16,0.000120634,0.00024037,0,8,8,486651.8895,98.19,8.92,2.18,0.002271813,0.003318094,0,3.1,7.5,0.001665,0.07,3.85,51.885,24.305,9.79,0.0635,49038965.99,0.7,7.1,0.00187,0.01,12.57,54.465,24.895,5.09,0.0685,637293366,7,0,100,0,2.7,17.5,0.001006,0.14,13.69,47.41,21.97,0.6,0.1154,45.14861798,-79.11238378,320,0.883333333,4,5,46.16666667,0,0,0,0.666666667,1,0,1,8.85,2.28,3.4193,37,4.3,254,6.92,4.5,0,0,0,0,0,0,0,0,1.4343517,0,0,0,1.11383888,0,0,0,0,0,0.254452926,0,0,0,0,0,0,0,0,0,0,5.242885938,0,0,0,0,0.763358779,0,0,0,0,0,0,0,0,0,9.925468753,9.902546473,1.386338113,0,3.546099291,0,0,0,0.574965747,0,0.254452926,1.772910828,0,0,0,0,0,0,0,0,0,0,0,29.21061984,1.993405463,0,0,0,0,0,0,0,0,3.846153846,0,0,1.963438182,0,0,0,0,0,0,0,0,0,0,0,0,3.78250591,0,4.339147715,0,0,0.236406619,0,1.602564103,0,0,11.14024549,3.313683682,2.400158808,9.902546473,16.85408797,8.994817239,0.254452926,47.51250748,29.21061984,14.82245244,0.009958093,-0.003062425,-0.249665005,0.353139684,17.74465586,6.128427107,50.40385554,4.339147715,68.94582847,5.918147506,16.20114136,0.254452926
L210HB,2012,Lake,3.36,4.9,0.000777988,0.002148501,0,3.36,4.89,0.000777776,0.002147917,0,8,8,486651.8895,98.19,7.22,5.64,0.001339732,0.00373227,0,0.8,7.6,0.000358,0.33,4.32,65.96,11.1,1,0.0911,8589898.752,0.8,7.6,0.000358,0.33,4.34,65.94,11.1,1,0.0911,8589898.752,7,0,100,0,0.9,18.2,0.00053,0.21,8.58,58.005,12.585,0.4,0.1031,45.14861798,-79.11238378,320,0.863333333,5,3.333333333,68.5,0,0,1,0.333333333,1,0.333333333,1,9.25,2.28,3.0164,35.8,4,199,6.89,3.7,0.320512821,0,0,3.205128205,0,0,0,0,3.846153846,0,0,0,1.282051282,0.320512821,0,0,0,0,0,0,0,0,0,2.564102564,0,0,0,0,0.574965747,0.574965747,0,0,0.320512821,0,0.895478567,0.320512821,0,0,0,0.895478567,0,0,0,0,5.769230769,13.08230573,0.895478567,0,4.166666667,0.254452926,0,0,0,0,0.320512821,6.909375612,0,0.320512821,0,0,0,0.320512821,0.320512821,0,0,0,0,16.34370718,5.429144647,0,0,0,0,0,0,0.320512821,0,1.847230378,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857017029,0,0,0,0,0,0,0,13.9973576,3.647974163,7.154041887,15.96692112,24.79937365,6.654922685,1.215991388,53.5598943,16.34370718,18.26196259,0.008169823,-0.003960822,-0.252243811,0.266401232,21.01193971,6.17123914,43.32061068,2.17752985,62.77647288,12.59297319,9.152965357,0.961538463
L210PB,2012,Lake,7.02,5.1,0.000805444,0.001693015,0,7.02,5.1,0.00080544,0.001693007,0,8,8,486651.8895,98.19,15.74,9.73,0.001808867,0.003633402,0,0.9,7.8,0.001753,0,7.79,64.55,13.57,0.19,0.0945,4518903.18,0.9,7.8,0.001753,0,7.79,64.55,13.57,0.19,0.0945,4518903.18,7,0,100,0,1.1,18.6,0.000901,0,12.3,43.53,14.79,0.35,0.1038,45.14861798,-79.11238378,320,0.8,5,3,48.85,0,0,0.333333333,1,1,0,1,8.3,2.44,3.0569,36.2,4.1,224,6.92,3.8,0.497512438,0,0,0.746268657,0,0,0,0,0.569269039,0,0.248756219,0,3.223665327,0,0,0,0,0,0,0,0,0,0,1.243781095,0,0,0,0,0,0.497512438,0,0,0,0,0.497512438,0,0,0,0,0,0,0,0,0,4.886325584,7.966178722,1.290422886,0,1.564293915,0,0,0,0,0,0.248756219,1.527518657,0,0,0,0,0,0,0,0,0,0,0,35.29916523,3.635966801,0,0,0,0,0,0.320512821,0.746268657,0,1.290422886,0,0,1.884806736,0,0,0,0,0,0.260416667,0,0,0,0,0,0,0,0,1.564293915,0,0,0.260416667,0,0,0,0,13.89925373,11.25831181,4.572390452,9.209959816,29.72995599,3.600985457,0.497512438,45.69639782,35.29916523,15.52151244,0.008771683,-0.009315603,-0.225333662,0.263313272,8.298650976,6.419167862,66.8538318,1.564293915,76.3893872,10.08150354,5.983304632,0.818025259
L210RB,2012,Lake,0.15,4.71,0.00104179,0.001999996,0,0.15,4.71,0.001041119,0.001998708,0,8,8,486651.8895,98.19,0.13,9.48,0.002404773,0.003518876,0,1.8,7.8,0.000534,0,2.96,62.22,18.96,5.02,0.0539,4945543.661,1.8,7.8,0.000537,0,3.02,62.18,18.94,5.02,0.0539,4945543.661,7,0,100,0,0.4,19,0.000651,0,8.05,53.225,23.675,2.75,0.0801,45.14861798,-79.11238378,320,0.693333333,5,2.666666667,60.16666667,0.333333333,0,0.333333333,0.666666667,1,0,1,8.25,2.26,3.2044,36.8,4.4,214,6.93,4.5,0.647249191,0,0,3.815645441,0,0,0,0,1.517321874,0,0,0,0.917431193,0,0,0,0,0.323624595,1.671930616,0,0,0,0,3.049415904,0,0,0,0,0,7.147776559,0,0,0.305810398,0,1.24409783,0.273224044,0,0.323624595,0,0.323624595,0,0,0.305810398,0,3.958524069,10.56128839,1.17588308,0,3.480290732,0,0,0,1.190655236,0,0.852258485,8.801089878,0,1.143296727,0,0,0,0,0,0,0,0.647249191,0,11.9308887,6.395516079,0,0,0,0,0,0,1.689744814,0,1.517321874,0,0.323624595,0,0,0,0,0,0,0,0.323624595,0,0,0,0,0,0.323624595,0,2.48819566,0,0,0.917431193,0,0,0,0,11.8141473,4.700125235,3.898632347,13.88392833,20.41290488,6.687357419,2.966428998,57.44127277,11.9308887,22.48383858,0.008665988,-0.003581159,-0.174499009,0.353099749,22.87910049,5.731590923,35.13779964,3.117630653,53.73170943,10.52609804,14.48238317,1.431292927
L210TB,2012,Lake,2.12,0.33,0.000286901,0.000536977,0,0.94,0.24,0.000296582,0.000438637,0,8,8,486651.8895,98.19,16.88,0,0.001590735,0.003307314,0,4.1,6.9,0.001801,0.06,14.98,52.51,22.28,5.39,0.0843,86510496.47,1.5,6.5,0.001703,0.02,17.12,53.12,22.01,4.73,0.0888,527035296.5,7,0,100,0,5.4,15.4,0.000766,0.56,8.6,52.425,16.205,0.21,0.1543,45.14861798,-79.11238378,320,0.54,2.666666667,2.333333333,0.083333333,1,0.333333333,0.666666667,1,1,0,0.666666667,8.65,2.04,1.224,27,3,221,6.83,6.2,0,0.56980057,9.686609687,0.284900285,0,0,0,0,2.294663429,0,0,0,3.446692033,0,0,0,0,0.284900285,0,0,0,0,0,1.994301994,0,0,0,0,0,0.628930818,0,0.330033003,0,0,0,0,0,0,0,0,0,0,0,0,0.99009901,24.43840901,0.958963821,0,2.11256249,0,0,0,0.330033003,0,0,4.527162924,0,0,0,0,0,0,0,0,0,0,0,10.71995201,0.944966292,0,0,0,0,0,0,0,0,1.229866576,0,0,0.314465409,0,0,0,0,0,0,0,0,0,0,0.628930818,0,0,0,2.53286093,0,0,0.330033003,0,0,0,0,10.96743685,7.491179694,11.96224606,26.432711,30.4208626,13.59883932,0.284900285,47.01453454,10.71995201,15.06493343,0.008205396,-0.000447587,-0.325506371,0.067838926,8.756891654,6.970338066,43.67367554,2.53286093,69.52761798,17.28173302,4.855625863,0
L210TMB,2012,Lake,8.09,1.58,0.000286502,0.001270896,0,1.22,0.28,0.000287292,0.000463495,0,8,8,486651.8895,98.19,18.65,2,0.001178747,0.00408132,0,3.2,7.1,0.00096,0.06,2.9,62.215,18.485,2.38,0.0826,20784175.61,1.5,6.6,0.001686,0.02,16.72,53.28,21.88,4.66,0.087,596763475.6,7,0,100,0,5.3,18,0.000682,0.23,9.45,46.335,14.395,1.25,0.1091,45.14861798,-79.11238378,320,0.85,5,4.333333333,81.83333333,0,0,0,0,1,0,1,9.2,2.32,3.223,36.2,3.8,207,6.91,3.7,0.548706137,0,0.546448087,1.921600506,0,0,0,0,0,0,0,0,3.560944768,0,0,0,0,0,0,0,0,0,0,0.275482094,0,0,0,0,0.275482094,4.653840943,0,0.546448087,0,0,0.821930181,0,0,0,0,0,0,0,0,0,16.71408572,23.59210586,1.370636318,0,0.826446281,0,0,0,0.275482094,0,1.099670325,1.370636318,0,0,0,0,0,0,0.275482094,0,0,0,0,9.842839724,2.750304837,0.546448087,0,0.273224044,0,0,0,0.275482094,0,2.1880504,0,0.548706137,2.732240437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8663686,7.38833943,1.912568306,23.86758795,22.16727634,4.111908955,0.548706137,57.23479203,9.842839724,17.62142056,0.008776371,-0.007944725,-0.0464391,0.512824168,23.29630131,6.064680495,32.01011606,0.548706137,73.69371811,8.763491848,10.95154225,1.646118412
L219BB ,2012,Lake,18.16,2.75,0.000821564,0.002564194,0,2.46,2.76,0.000278571,0.000654514,0.19,42,34,3794169.273,94.19,29.78,3.22,0.001088768,0.003484467,0,1.5,11.1,0.001272,3.42,4.74,34.82,5.04,3.75,0.0398,6708999.615,1.3,7.7,0.001669,0.27,16.26,48.84,18.58,5.36,0.0584,4639249300,8,14.07,76.39,9.53,1.7,22.6,0.000764,0.13,21.98,23.66,5,1.77,0.0725,45.02490443,-79.68566376,225,0.966666667,4.666666667,4.333333333,382.1666667,0,0,0.333333333,1,1,0.666666667,1,9.8,3.38,7.2126,55,4.2,284,6.97,3.9,0,0,4.669336986,0.284900285,0,0,0,0,0,0,0,0,2.493435878,0,0,0,0,0.582519333,0,0,0,0,0,2.056716996,0,0,0,0,0,4.309302937,0.54200542,0,1.125703565,0,0,1.910916545,0,0,0,0.853522043,0,0,0,0,2.303460992,18.74286508,0.866240805,0,2.043998233,1.137243515,0,0,0,0,1.177757428,1.708222897,0,0,0,0,0,0,0,0,0,0,0,20.91758738,0.81300813,0,0,0,0,0,0,0.284900285,0,1.923635308,0,0.284900285,1.436041375,0,0,0,0,0,0.866240805,0,0,0,0,0,0,0,0,0.84080328,0,0,4.05101899,0,0,0,0,12.22279302,5.825317411,3.725604793,22.71049863,21.77371522,8.921870812,1.436041375,39.71629094,20.91758738,20.95097892,0.010408732,-0.00108166,-0.346760273,0.649661355,6.884945452,6.571726643,46.06605567,2.25140713,71.94023795,10.20057179,9.997878138,3.088673973
L219DB,2012,Lake,6.1,7.62,0.00077686,0.002605002,0,3.35,4.34,0.00041685,0.001492052,0,42,34,3794169.273,94.19,10.39,4.23,0.001077274,0.003372705,0,1.3,11.1,0.000782,1.2,4.97,37.3,7.13,6.8,0.0486,7848087.665,1.1,10.6,0.001453,4.04,9.13,30.045,6.045,7.39,0.0429,15313587.66,8,14.07,76.39,9.53,1.2,22.4,0.000719,0.82,6.04,38.675,8.775,4.32,0.0654,45.02490443,-79.68566376,226,0.993333333,4,5,32.03333333,0.333333333,0,0.666666667,1,1,0,1,9.7,3.52,7.0843,55.2,4.4,278,6.97,4,0,0,10.66165939,0.204498978,0,0,0,0,0,0,0,0,0.836184565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204498978,0,0,0,0,0,2.443312178,0,0,0,0.877899651,0,0,0,0,0.336700337,13.09934131,0.926670838,0,4.293674205,6.223389952,0,0,0.204498978,0,0.631685587,2.689526241,0,0,0,0,0,0,0,0,0,0,0,22.28360665,5.054746023,0,0,0,0,0,0,0,0,4.019400257,0,0.613496933,0.631685587,0,0,0,0,0,1.214599988,0,0,0,0.336700337,0,0,0,0,2.425123523,0,0,2.425123523,0,0.589970501,0,0,6.221836147,4.877849929,5.672319408,15.54265349,16.77200548,19.56470436,0.877899651,26.76450518,22.28360665,18.07694851,0.010401568,0.005466066,-0.443679998,0.547022186,5.01710739,6.751393508,42.69533565,3.038620456,61.32521625,14.53646441,9.739229528,3.411698102
L219EB,2012,Lake,3.55,1.64,0.000897716,0.001368759,0,2.43,2.77,0.000277129,0.000648851,0.2,42,34,3794169.273,94.19,5.45,0.69,0.001101912,0.001398845,0,1.4,9.7,0.000766,1.07,9.26,49.55,14.3,5.95,0.0571,14857981.03,1.3,7.7,0.001671,0.23,15.83,49.36,18.86,5.36,0.0587,4535324881,8,14.07,76.39,9.53,1.6,20.4,0.00051,0.34,19.46,46.78,11.18,2.44,0.1024,45.02490443,-79.68566376,226,0.963333333,3.666666667,5.333333333,74.5,0,0,0.666666667,0.666666667,1.333333333,0,1,10.6,3.22,7.0857,126,4.2,258,6.97,5.054949175,0.303030303,0.623543124,16.8096517,0.320512821,0,0,0,0,0,0,0,0,0.926573427,0,0,0,0,0.303030303,0,0,0,0,0,0.909090909,0,0,0,0,0,2.87177798,0.241545894,0,0,0,0.241545894,1.106634911,0,0,0,0,0,0,0,0,2.393331306,16.05494747,1.409665214,0,4.847893652,1.282051282,0,0,0,0,0.483091787,3.899445965,0,0,0,0,0,0,0,0.303030303,0,0,0,16.95500152,0,0,0,0,0,0,0,0.320512821,0,2.173913043,0,0,1.449275362,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,2.01572582,0,0,1.22960373,0,0,0,0,8.427417993,3.486875443,7.702189115,18.07067329,19.61648255,24.77551434,0.909090909,35.12685382,16.95500152,18.69366747,0.011067548,0.010882208,-0.402548065,0.578465291,7.096381879,6.822534062,39.73784669,2.01572582,67.4955238,12.71266174,12.28691598,1.589726698
L219GB,2012,Lake,25.63,4.1,0.000608358,0.003372041,0.72,13.93,2.08,0.000567475,0.002036962,0.37,42,34,3794169.273,94.19,38.01,7.81,0.00188627,0.00493251,0,2.1,10.8,0.001864,1.53,4.56,29.855,11.615,6.46,0.0308,22864717.88,1.3,10.8,0.002115,2.74,13.59,25.785,10.615,8.5,0.03,45180216.88,8,14.07,76.39,9.53,3.3,22.6,0.001132,0.4,9.39,17.925,10.835,2.25,0.0566,45.02490443,-79.68566376,227,0.82,4,4.333333333,40.16666667,0,0,0.666666667,0.333333333,0.666666667,0,1,15.5,5.66,13.1116,200,4.3,284,7.04,5.924290048,0,0.899933528,18.2811131,0,0,0,0,0,0,0,0,0,0.282485876,0.282485876,0,0,0,0.314465409,0,0,0,0,0,5.651320824,0,0,0,0,0,4.500880954,0,0,0,0,0.27100271,5.818628381,0,0,0,0,0,0,0,0,0.564971751,13.54857552,0.54200542,0,6.151120194,1.08401084,0,0,1.106977171,0,0,0.596951285,0,0,0,0,0,0,0,0.282485876,0,0,0,14.19271612,0.282485876,0,0,0,0,0,0,0.27100271,0,1.683432089,0,0.54200542,0.553488586,0,0,0,0,0,12.0181512,0,0,0,0,0,0,0,0,3.191800066,0,0,1.712941658,0,0,0,0.314465409,2.73425008,1.75887432,0.564971751,25.01852473,5.058096152,27.60106702,0.596951285,17.27709442,14.19271612,17.79489122,0.01352447,0.018479888,-0.641334405,0.999979236,2.810905627,6.834578823,34.46076354,3.733805486,70.46291457,3.623913758,14.37432347,5.818628381
L219M,2012,Lake,8.38,7.96,0.000353584,0.001369626,0.66,2.47,2.83,0.000280371,0.000658964,0.2,42,34,3794169.273,94.19,14.28,6.21,0.001559378,0.002478021,0.9,2.4,8.8,0.001588,0.31,3.02,48.67,18.94,5.74,0.0413,413267205.7,1.3,7.7,0.001685,0.23,14.25,50.31,19.24,5.46,0.0587,4421858206,8,14.07,76.39,9.53,1.6,21.3,0.000508,0.34,13.07,42.89,11.06,1.63,0.0871,45.02490443,-79.68566376,226,0.923333333,6,4,374.3333333,0,0,0.333333333,0,1,0,1,11.6,3.3,7.388,130,4.4,266,5.53,5.370763737,0,0.239808153,3.904923599,0.255374648,0,0,0,0.079936051,0,0,0,0,0.079936051,0,0,0,0,0.079936051,0,0,0,0,0,1.23514092,0,0,0,0,0,1.687872113,0,0.255374648,0.268817204,0,0.159872102,12.79145105,0.079936051,0.319744205,0,0.268817204,0,0,0,0.350877193,0.843936057,17.32516194,2.012583482,0,11.07446131,0.537634409,0,0,0.508625358,0,0.877192982,5.628135861,0,0,0,0,0,0,0,0,0,0.175438596,0,18.48876077,0.268817204,0,0,0,0,0,0,0.806451613,0,2.523332777,0,0.175438596,1.987822306,0,0,0,0,0,0.079936051,0,0,0,0,0,0,0,0,2.187302789,0,0.268817204,2.718565385,0,0,0,0,5.091885744,1.143886249,3.217996062,31.35175391,9.453768055,18.54897746,0.348753255,25.51335502,18.48876077,18.14749999,0.010403969,0.005412842,-0.388649638,0.767457092,9.419147195,5.924459867,30.74740207,2.631558589,51.42288206,6.756455617,18.84606406,13.93746124
L256,2012,Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,6.9,0.001246,0,4.93,56.29,26.35,12.44,0.0533,1596545.891,0,6.9,0.001246,0,4.93,56.29,26.35,12.44,0.0533,1596545.891,1,0,100,0,0,15.7,0.000392,0,8.46,51.7,30.76,9.08,0.0422,45.38069565,-78.54612158,479,0.683333333,5.666666667,3.333333333,8.366666667,0,0,0.666666667,1.333333333,1,0,1,2.85,1.16,0.08,15.6,7,403,5.78,12.5,0,0,0,0,0,0,0,0,5.970472708,0,0,0,3.275091426,0,0,0,0,0,0.912908032,0,0.289855072,0,0,0.601381552,0,0,0,0,0,0,0,3.876472978,0,0,0.31152648,0,0,0.891236625,0,0,0,0.289855072,0,0,0,0.289855072,0.601381552,0,0,0,0,0,1.449275362,0,0,5.035893268,0,3.275091426,0,0,0.31152648,0,0,0,0,0.289855072,0,2.941893539,1.47094677,0,0,0,0,0,0.289855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579710145,0,0,0,0,0,0,0,50.26412028,6.999864554,9.781931464,0.891236625,67.04591629,0.289855072,1.224434512,92.60192334,2.941893539,15.27817515,-0.006349944,-0.002377951,-0.011666606,-0.426558366,20.18691589,6.663614955,70.56751998,0.579710145,74.21915211,16.37545713,0.289855072,0.289855072
L266,2013,Lake,1.53,0.05,0.000109134,0.000303099,0,0.64,0.01,0.0000829,0.000164328,0,1,4,183972.4353,99.31,14.39,0.01,0.001220111,0.002215362,0,0.5,7.3,0.001994,0.01,2.33,63.88,24.18,5.35,0.0679,120206221.8,0.5,7.1,0.00191,0,12.66,54.43,25.87,4.81,0.0671,532826521.8,6,0,100,0,2.1,19.5,0.000729,0,11.53,48.92,18.84,1.83,0.058,45.35311905,-78.93036337,370,0.85,3,3.333333333,0.1,0.666666667,1.333333333,0,1,1,0,1,6.55,2.48,3.93,36.8,5.4,285,6.81,5.6,0,0,0,0,0,0,0,0,1.038359788,0,0,0,2.136243386,0,0,0,0,2.136243386,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0,0,3.214285714,0,0,0,0,0,0,0,0,0,0,0,0,3.76984127,1.752645503,0,7.361111111,0.562169312,1.058201058,0,0.238095238,0,0,1.832010582,0,0,0,0,0,0,0,0.264550265,0,0,0,25.95238095,1.216931217,0,0,0,0,0,0,0,0,3.234126984,0,0.535714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.103174603,0,0,0.535714286,0,0.892857143,0,0,16.06481481,14.06084656,3.611111111,3.76984127,33.73677249,11.48809524,2.400793651,54.72222222,25.95238095,16.88356988,0.007482959,-0.009048375,-0.331922824,0.021648889,6.858465608,6.653613666,70.00661375,10.8531746,61.42195766,11.52116402,12.91666667,0
L273,2012,Lake,1.55,3.11,0.000416118,0.0009159,0.01,1.52,2.59,0.000354635,0.000832157,0.01,1,1,0,96.1,5.8,1.62,0.000909611,0.001304724,0,0.9,7.8,0.002065,0.15,4.43,68.07,14.7,3.14,0.0526,40224434.86,0.9,7.9,0.001987,0.13,7.16,65.5,15.1,3.12,0.0518,48408134.86,4,0,100,0,0.9,18.3,0.001323,0.36,11.97,61.665,11.565,1.4,0.0461,45.22527313,-79.50099569,295,0.52,4.333333333,5.666666667,93.33333333,0,0,0,0.666666667,1,0,1,7.45,2.58,4.81,49,2,160,6.97,1.7,0,0,2.31884058,2.908293926,0,0,0,0,2.792844229,0,0,0,6.601484442,0,0,0,0,0,0,0,0,0,0,0.579710145,0,0,0,0,0,3.662926601,0.289855072,0.858787706,0,0,0,0.579710145,0,0,0,0.268817204,0,0,0,0,2.308063068,13.40716239,2.978027115,0,2.012560662,4.301075269,0,0,1.36512389,0,0.289855072,8.110232637,0,0,0,0,0,0,1.179941003,0,0,0,0,6.529144791,1.1435126,0,0,0,0,0,0,0.268817204,0,6.09001808,0,0.294985251,0.584840323,0,0,0,0,0,0,0,0,0,0.289855072,0.294985251,0,0,0,3.798379857,0,0,0,0,0,0,0,10.62302705,7.356117117,5.913006243,14.56658268,23.89215041,11.87017753,0.268817204,58.61148002,6.529144791,19.09013018,0.00742276,-0.005195282,-0.21071113,0.274895116,19.21804085,6.11116169,34.50953013,4.093365108,49.681991,20.6472506,13.79910387,1.159420289
L289,2012,Lake,0,0,0,0.000336882,0,0,0,0,0.000336882,0,0,0,0,100.01,0,0,0,0,0,1.2,10.9,0.001181,5.92,3.56,41.235,7.765,1.91,0.0064,845400.6738,1.2,10.9,0.001181,5.92,3.56,41.235,7.765,1.91,0.0064,845400.6738,1,0,0,100,1.4,21.6,0.001215,1.82,8.38,35.35,18.29,0,0.0049,44.96733493,-79.55507737,241,1.083333333,3.666666667,3.333333333,203.7,1,0.666666667,0,0.666666667,1.666666667,1.333333333,1,4.25,0.8,0.2684,9.8,7.5,413,5.86,14.3,0,0,0,0,0,0,0,0,5.166826088,0,0,0,2.279095834,0,0,0,0,0.958963821,0.250626566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250626566,0,0,0,0,0,0.250626566,3.409279785,0,0,0,0,0,0,0,0,0.58065957,0,0,0,0,0.501253133,0,0,0,0,0,0,2.398884377,2.923594246,0,0,0,0,0,0.314465409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.731423646,0,0,0,0,0,0,0,59.36904657,5.377047139,12.23758069,0.250626566,76.98367439,0,1.961470087,91.01761503,2.398884377,10.56044277,-0.007753997,-0.000126703,-0.157462971,-0.481582531,6.061951067,7.433600362,83.11398242,3.731423646,72.56243074,19.8874264,0,0.314465409
L303,2012,Lake,0,0,0.001496714,0.002078597,0,0,0,0.001496714,0.002078597,0,0,0,0,99.7,0,0,0.001974966,0.002742781,0,0.5,7.3,0.001372,0,6.01,77.76,11.29,1.62,0.0554,903912.75,0.5,7.3,0.001372,0,6.01,77.76,11.29,1.62,0.0554,903912.75,2,0,100,0,0.2,15.2,0.001402,0,7.93,71.51,14.05,2.14,0.0528,45.17667427,-79.1463682,351,0.673333333,3,4,16.36666667,0.666666667,0.333333333,1,0.666666667,1,0,1,7.25,3.1,30.7,171,3.5,269,6.9,4.3,0,0,8.230769827,0,0,0,0,0,0,0,0,0,6.465840579,0,0,0,0,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,1.835410177,0,0,0,0,0,0,0,0,0,0,0,0,0,34.940407,0.62305296,0,0.31152648,0,0,0,0,0,0,1.053067993,0,1.557632399,0,0,0.589304258,0,0,0,0,0,0,4.513607973,0.775290216,0,0,0,0,0,0,0,0,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.953317525,0,0,0.746268657,0,0,0,0,17.71775856,2.26542521,10.24271168,34.940407,30.22589544,8.853822786,0.900830737,49.54755041,4.513607973,12.53833666,0.005182684,0.002450864,-0.275235691,-0.074961223,4.446110569,7.234245085,41.69282095,6.953317525,71.8072798,18.23243596,1.178608516,0
L317,2012,Lake,7.43,30.56,0.000139948,0.002818107,3.77,4.23,22.71,0.000155947,0.002510864,4.17,0,0,0,74.1,7.05,29.89,0.00014236,0.003097281,4.47,0.1,8.2,0.001822,0,4.59,41.025,7.115,2.49,0.054,568495.2915,0.1,8,0.001058,0,12.67,45.395,7.015,2.02,0.0684,998695.2915,2,0,100,0,0.1,17.1,0.001777,0,6.1,40.435,6.655,2.11,0.0452,45.10708239,-79.59043948,248,0.573333333,2,2,0.05,0.666666667,0,1.666666667,1.333333333,2,0,0.333333333,23.7,9.04,52.7859,232,9.5,498,7.43,13.5,0,0,2.574379521,0.27100271,0,0,0,0,1.306174573,0,0,0,3.810268858,0.239808153,0,0,0,1.552757794,0,0,0,0,0,0.239808153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27100271,0,0,5.198719074,4.238365405,0,2.372540992,0,0.479616307,0,2.459349593,0,0,1.621921975,0,0.239808153,0.27100271,0,0,0,0,0,0,0,0,6.18280985,1.059591351,0,0,0,0,0,0,0,0,1.08401084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,4.009426605,0,0,0.517585931,0,0,0,0,39.06187245,8.105369363,12.55502915,5.438527227,59.72227096,6.030931352,1.823760504,76.53218888,6.18280985,16.61265637,-0.00235737,-0.0024494,-0.278499683,-0.206731407,5.898257004,7.137728618,69.91450742,4.009426605,63.69752978,23.42462616,3.456551832,0.27100271
