Site,Year,Zone,Esc,Order,SubWatNo,Type,MonYr,Year.factor,Shannon,Percent.Dominance,Percent.Oligochaeta,Percent.Chironomidae,Percent.Isopoda,Percent.Amphipoda,Percent.Coleoptera,Coleo.as.Elmidae,Trich.as.Hydropsychidae,Ephem.as.Baetidae,Percent.EPT,Percent.mEPT,Percent.ICHAEBO,EPT.Richness,Ephem.Richness,Percent.Ephem,Plec.Richness,Percent.Plec,Trich.Richness,Percent.Trich,EPT.per.EPT.and.Chir,Percent.Non.Chir.Dip,Percent.CIGH,Intolerants.Richness,Percent.Intolerants,HBI,CEFI,Percent.Predator,Percent.Scraper,Percent.Shredder,Percent.Filter,Percent.Gatherer,Scraper.to.Shredder.Collector,Percent.Clinger,Percent.Burrower,Percent.Sprawler,Burrower.to.Sprawler.Clinger,Henry,obs,abund
501130004,1999,M,Below,3,13,Tributary,1,1999,1.916854906,0.480769231,0.038461538,0.480769231,0,0,0.048076923,1,0.647058824,0,0.201923077,0.096153846,0.625,8,1,0.009615385,1,0.028846154,6,0.163461538,0.295774648,0.21875,0,9,0.25,5.346153846,0.334,0.096153846,0.067307692,0.115384615,0.125,0.490384615,-2.197224577,0.240384615,0.221153846,0.528846154,-1.246532419,N,13,104
501130014,1999,M,Below,4,13,Tributary,1,1999,2.385629439,0.268211921,0.013245033,0.21192053,0,0.003311258,0.092715232,0.857142857,0.210526316,0,0.089403974,0.07615894,0.241721854,8,4,0.026490066,0,0,4,0.062913907,0.296703297,0.168831169,0.221854305,10,0.145695364,5.470198675,0.304545455,0.046357616,0.254966887,0.029801325,0.016556291,0.314569536,-0.300585477,0.238410596,0.350993377,0.291390728,-0.411734721,N,14,302
501150001,1999,U,Above,5,15,Tributary,1,1999,1.326916134,0.668539326,0.028089888,0.668539326,0,0.084269663,0.011235955,1,0.857142857,0.111111111,0.140449438,0.095505618,0.825842697,5,3,0.101123596,0,0,2,0.039325843,0.173611111,0.032520325,0,5,0.140449438,5.539325843,0.31,0.033707865,0.011235955,0.016853933,0.123595506,0.685393258,-4.135166557,0.073033708,0.04494382,0.679775281,-2.818398258,N,15,178
501150003,1999,U,Above,5,15,Tributary,1,1999,2.515589109,0.294820717,0.027888446,0.294820717,0,0.067729084,0.039840637,1,0.526315789,0.273972603,0.398406375,0.278884462,0.509960159,13,6,0.290836653,3,0.03187251,4,0.075697211,0.574712644,0.063291139,0.043824701,13,0.314741036,5.354581673,0.251016949,0.035856574,0.103585657,0.051792829,0.163346614,0.533864542,-1.732336049,0.3187251,0.079681275,0.334661355,-2.104134154,N,16,251
501150005,1999,U,Above,4,15,Tributary,1,1999,1.792013012,0.473684211,0.01754386,0.473684211,0,0,0.175438596,1,NA,0.333333333,0.157894737,0.122807018,0.526315789,5,3,0.105263158,2,0.052631579,0,0,0.25,0.035714286,0,6,0.228070175,5.245614035,0.308470588,0.140350877,0.228070175,0.035087719,0,0.526315789,-0.900786545,0.210526316,0.105263158,0.649122807,-2.100060829,N,17,57
501160001,1999,U,Above,4,16,Tributary,1,1999,1.681081389,0.588516746,0.004784689,0.588516746,0.129186603,0,0.076555024,0.25,0.25,0.5,0.028708134,0.019138756,0.732057416,6,2,0.009569378,0,0,4,0.019138756,0.046511628,0.18,0.14354067,6,0.100478469,6.028708134,0.318175182,0.110047847,0.033492823,0.071770335,0.014354067,0.622009569,-3.030823593,0.167464115,0.133971292,0.631578947,-1.785789302,N,18,209
501160006,1999,U,Above,3,16,Tributary,1,1999,1.828465773,0.416666667,0.083333333,0,0,0,0.541666667,0.769230769,0,NA,0.125,0.125,0.083333333,1,0,0,0,0,1,0.125,1,1,0,4,0.333333333,4.791666667,0.29,0.291666667,0.583333333,0,0,0,NA,0.041666667,0.458333333,0.416666667,-1.11E-16,N,19,24
501170001,1999,U,Above,5,17,Tributary,1,1999,2.317595033,0.322766571,0.034582133,0.322766571,0,0,0.204610951,0.901408451,0.782608696,0.416666667,0.268011527,0.121037464,0.504322767,12,5,0.103746398,1,0.031700288,6,0.132564841,0.453658537,0.17037037,0.048991354,12,0.227665706,5.305475504,0.322534562,0.066282421,0.25648415,0.069164265,0.146974063,0.400576369,-0.605113831,0.276657061,0.135446686,0.507204611,-1.755654465,N,20,347
501180001,1999,U,Above,6,18,Tributary,1,1999,1.888948083,0.365617433,0.01937046,0.227602906,0,0,0.02905569,0.833333333,0.843575419,0.549019608,0.687651332,0.186440678,0.748184019,9,4,0.246973366,1,0.007263923,4,0.433414044,0.751322751,0.078431373,0.012106538,9,0.205811138,4.96125908,0.372886076,0.03874092,0.041162228,0.014527845,0.513317191,0.370460048,-2.235690858,0.464891041,0.036319613,0.254237288,-2.985681938,N,21,413
501180002,1999,U,Above,6,18,Tributary,1,1999,1.934798433,0.511415525,0.02283105,0.511415525,0.01369863,0,0.063926941,0.857142857,0.684931507,0.8,0.257990868,0.089041096,0.716894977,8,3,0.068493151,1,0.02283105,4,0.166666667,0.335311573,0.0781893,0.057077626,10,0.152968037,5.586757991,0.323894737,0.043378995,0.095890411,0.04109589,0.166666667,0.584474886,-1.875458488,0.260273973,0.093607306,0.568493151,-2.180830768,N,22,438
501180003,1999,U,Above,6,18,Tributary,1,1999,2.301702927,0.391304348,0.02173913,0.391304348,0.073913043,0.039130435,0.047826087,0.909090909,0.25,0.333333333,0.139130435,0.095652174,0.569565217,11,6,0.117391304,1,0.004347826,4,0.017391304,0.262295082,0.052631579,0.247826087,10,0.12173913,6.104347826,0.31,0.034782609,0.173913043,0.008695652,0.052173913,0.556521739,-1.178654996,0.308695652,0.1,0.434782609,-2.006169341,N,23,230
501190009,1999,U,Above,2,19,Tributary,1,1999,0.266152419,0.957800512,0.012787724,0.957800512,0.003836317,0.001278772,0.007672634,0.666666667,NA,NA,0,0,0.975703325,0,0,0,0,0,0,0,0,0.010568032,0.00511509,2,0.003836317,6.011523688,0.31,0.015345269,0.006393862,0.001278772,0.001278772,0.957800512,-5.010635294,0.006393862,0.024296675,0.962915601,-3.686244406,N,24,782
501020001,2000,L,Below,2,2,Tributary,2,2000,1.003720624,0.730964467,0.025380711,0.091370558,0.730964467,0,0.025380711,0,NA,0.944444444,0.091370558,0.005076142,0.934010152,2,2,0.091370558,0,0,0,0,0.5,0.28,0.730964467,1,0.005076142,7.441624365,0.348490566,0.020304569,0,0,0.035532995,0.182741117,NA,0.736040609,0.025380711,0.096446701,-3.490428515,N,25,197
501040004,2000,L,Below,3,4,Tributary,2,2000,1.36257668,0.668428005,0.002642008,0.034346103,0.081902246,0,0.059445178,0.844444444,0.444444444,0.99410609,0.755614267,0.050198151,0.824306473,5,3,0.672391017,0,0,2,0.08322325,0.956521739,0.509433962,0.08322325,4,0.00660502,6.023778071,0.411718213,0.011889036,0.052840159,0,0.07001321,0.70673712,-2.593387293,0.171730515,0.015852048,0.085865258,-2.788092909,N,26,757
501050001,2000,L,Below,4,5,Tributary,2,2000,0.649133656,0.846153846,0.846153846,0.057692308,0.009615385,0,0.009615385,0,NA,NA,0,0,0.913461538,0,0,0,0,0,0,0,0,0,0.019230769,0,0,7.737864078,0.31,0.009615385,0.009615385,0,0,0.057692308,-1.791759469,0.019230769,0.846153846,0.057692308,2.397895273,N,27,104
501050004,2000,L,Below,4,5,Tributary,2,2000,1.417664751,0.409638554,0.253012048,0.409638554,0.156626506,0.13253012,0,NA,NA,NA,0,0,0.951807229,0,0,0,0,0,0,0,0,0,0.156626506,0,0,6.819277108,0.31,0,0,0,0,0.409638554,NA,0.156626506,0.253012048,0.409638554,-0.805625164,N,28,83
501050005,2000,L,Below,4,5,Tributary,2,2000,1.702861717,0.306843267,0.013245033,0.222958057,0.002207506,0,0.262693157,0.983193277,0.992857143,0.736111111,0.46799117,0.04415011,0.662251656,5,3,0.158940397,0,0,2,0.309050773,0.677316294,0.028846154,0.002207506,3,0.04415011,5.335540839,0.339235669,0.011037528,0.298013245,0,0.306843267,0.346578366,-0.150971027,0.350993377,0.035320088,0.481236203,-3.159656465,N,29,453
501050008,2000,L,Below,4,5,Tributary,2,2000,1.733364987,0.451612903,0,0.451612903,0,0.032258065,0.096774194,1,1,0.666666667,0.225806452,0.064516129,0.64516129,3,2,0.193548387,0,0,1,0.032258065,0.333333333,0.066666667,0,1,0.064516129,5.709677419,0.3275,0.032258065,0.161290323,0,0.064516129,0.580645161,-1.280933845,0.096774194,0.064516129,0.548387097,-2.302585093,N,30,31
501060002,2000,L,Below,4,6,Tributary,2,2000,1.608920272,0.49382716,0,0.49382716,0.012345679,0.111111111,0.185185185,0.866666667,0.8,NA,0.12345679,0.024691358,0.716049383,2,0,0,0,0,2,0.12345679,0.2,0.024390244,0.012345679,2,0.049382716,5.654320988,0.313859649,0.012345679,0.185185185,0,0.12345679,0.49382716,-0.980829253,0.160493827,0.024691358,0.654320988,-3.496507561,N,31,81
501070001,2000,L,Below,4,7,Tributary,2,2000,1.840691924,0.328125,0.0546875,0.328125,0,0,0.0703125,0.777777778,0.96,0.866666667,0.4296875,0.0390625,0.7734375,5,3,0.234375,0,0,2,0.1953125,0.567010309,0.25,0,2,0.03125,5.671875,0.354814815,0.0078125,0.0625,0,0.296875,0.5546875,-2.183238335,0.2265625,0.0546875,0.3828125,-2.410798678,N,32,128
501070003,2000,L,Below,4,7,Tributary,2,2000,1.458684225,0.582278481,0.006329114,0.03164557,0,0,0.037974684,1,0.885714286,0.929292929,0.848101266,0.069620253,0.816455696,6,3,0.626582278,0,0,3,0.221518987,0.964028777,0.666666667,0,4,0.069620253,5.569620253,0.43,0.006329114,0.069620253,0.018987342,0.240506329,0.626582278,-2.22707754,0.265822785,0.025316456,0.075949367,-2.602689685,N,33,158
501100001,2000,M,Below,5,10,Tributary,2,2000,2.082045367,0.240650407,0.232520325,0.167479675,0,0,0.240650407,1,0.914285714,0.510416667,0.294308943,0.110569106,0.583739837,8,5,0.156097561,1,0.024390244,2,0.113821138,0.637323944,0.182539683,0.006504065,8,0.14796748,5.790243902,0.322422764,0.034146341,0.248780488,0.034146341,0.125203252,0.312195122,-0.330854244,0.211382114,0.284552846,0.409756098,-0.780634635,N,34,615
501100002,2000,M,Below,4,10,Tributary,2,2000,2.022326781,0.362831858,0.088495575,0.362831858,0.061946903,0.053097345,0.079646018,0.888888889,0.25,1,0.256637168,0.026548673,0.796460177,4,1,0.221238938,0,0,3,0.03539823,0.414285714,0.145833333,0.061946903,3,0.044247788,6.150442478,0.331788618,0.026548673,0.088495575,0.026548673,0.088495575,0.584070796,-1.931521412,0.115044248,0.123893805,0.433628319,-1.488077055,N,35,113
501110001,2000,M,Below,6,11,Tributary,2,2000,2.239969973,0.198312236,0.033755274,0.151898734,0.012658228,0.012658228,0.160337553,0.894736842,1,0.479591837,0.535864979,0.219409283,0.52742616,7,5,0.41350211,1,0.004219409,1,0.11814346,0.779141104,0.12195122,0.042194093,7,0.253164557,5.29535865,0.345534884,0.012658228,0.198312236,0.012658228,0.130801688,0.552742616,-1.047692198,0.396624473,0.067510549,0.29535865,-2.327277706,N,36,237
501110002,2000,M,Below,5,11,Tributary,2,2000,2.092337879,0.284916201,0.005586592,0.284916201,0,0,0.173184358,0.967741935,0.977777778,0.444444444,0.368715084,0.078212291,0.581005587,6,3,0.100558659,1,0.016759777,2,0.251396648,0.564102564,0.037735849,0.011173184,7,0.156424581,5.167597765,0.329805825,0.122905028,0.184357542,0.005586592,0.30726257,0.335195531,-0.614366303,0.351955307,0.055865922,0.452513966,-2.667228207,N,37,179
501110004,2000,M,Below,4,11,Tributary,2,2000,1.790985915,0.47826087,0,0.043478261,0,0,0.02173913,1,0.785714286,0.666666667,0.826086957,0.304347826,0.565217391,6,2,0.065217391,2,0.152173913,2,0.608695652,0.95,0.5,0,6,0.369565217,4.086956522,0.448484848,0.304347826,0.02173913,0.043478261,0.47826087,0.108695652,-1.945910149,0.782608696,0.065217391,0.065217391,-2.564949357,N,38,46
501130002,2000,M,Below,3,13,Tributary,2,2000,1.868493793,0.333333333,0.055555556,0.027777778,0,0,0.055555556,0.5,0,1,0.388888889,0.361111111,0.111111111,3,1,0.027777778,0,0,2,0.361111111,0.933333333,0.933333333,0,4,0.472222222,4.722222222,0.356363636,0.083333333,0.027777778,0.055555556,0.388888889,0.055555556,-1.386294361,0.361111111,0.194444444,0.055555556,-0.762140052,N,39,36
501130003,2000,M,Below,3,13,Tributary,2,2000,2.379753913,0.185185185,0,0.086419753,0,0,0.135802469,1,0.444444444,0.285714286,0.555555556,0.432098765,0.209876543,8,4,0.259259259,1,0.185185185,3,0.111111111,0.865384615,0.5625,0,7,0.592592593,4.049382716,0.378630137,0.296296296,0.148148148,0.098765432,0.271604938,0.172839506,-0.606135804,0.395061728,0.12345679,0.222222222,-1.609437912,N,40,81
501130004,2000,M,Below,3,13,Tributary,2,2000,1.812526178,0.492307692,0,0.076923077,0,0,0.076923077,1,0.108108108,0.5,0.784615385,0.661538462,0.2,7,3,0.123076923,1,0.092307692,3,0.569230769,0.910714286,0.375,0,6,0.692307692,4.246153846,0.42969697,0.123076923,0.107692308,0.030769231,0.6,0.138461538,-0.451985124,0.692307692,0.030769231,0.153846154,-3.314186005,N,41,65
501130014,2000,M,Below,4,13,Tributary,2,2000,2.150730825,0.348958333,0.020833333,0.149305556,0,0.001736111,0.119791667,1,0.816666667,0.663366337,0.637152778,0.203125,0.605902778,11,6,0.526041667,1,0.006944444,4,0.104166667,0.810154525,0.252173913,0.010416667,11,0.234375,5.189236111,0.358642857,0.03125,0.133680556,0.039930556,0.161458333,0.59375,-1.556091932,0.215277778,0.088541667,0.279513889,-1.720663548,N,42,576
501140002,2000,M,Below,3,14,Tributary,2,2000,0.522193415,0.861788618,0,0.008130081,0,0,0,NA,NA,NA,0,0,0.008130081,0,0,0,0,0,0,0,0,0.666666667,0.975609756,1,0.008130081,7.691056911,0.1,0.008130081,0.967479675,0.008130081,0,0.016260163,3.680511204,0.967479675,0.016260163,0.008130081,-4.094344562,N,43,123
501150001,2000,U,Above,5,15,Tributary,2,2000,0.976813657,0.773869347,0.070351759,0.773869347,0,0.010050251,0.015075377,1,0.285714286,0.058823529,0.120603015,0.105527638,0.869346734,7,4,0.085427136,0,0,3,0.035175879,0.134831461,0.006451613,0,3,0.075376884,5.959798995,0.31,0.005025126,0.015075377,0,0.035175879,0.854271357,-4.037186148,0.100502513,0.08040201,0.788944724,-2.40356101,N,44,199
501150003,2000,U,Above,5,15,Tributary,2,2000,2.083727751,0.470588235,0.022624434,0.470588235,0,0,0.099547511,1,0.459459459,0.243243243,0.357466063,0.239819005,0.610859729,14,6,0.167420814,2,0.022624434,6,0.167420814,0.431693989,0.071428571,0.004524887,12,0.21719457,5.257918552,0.314312268,0.045248869,0.113122172,0.018099548,0.158371041,0.597285068,-1.693779061,0.294117647,0.049773756,0.57918552,-2.864794916,N,45,221
501150005,2000,U,Above,4,15,Tributary,2,2000,1.316235806,0.647887324,0.075117371,0.647887324,0,0,0.126760563,1,0.5,0.578947368,0.14084507,0.0657277,0.798122066,9,5,0.089201878,1,0.004694836,3,0.046948357,0.178571429,0,0,6,0.051643192,5.873239437,0.310703812,0.014084507,0.131455399,0,0.042253521,0.732394366,-1.717651497,0.079812207,0.093896714,0.774647887,-2.208274414,N,46,213
501160001,2000,U,Above,4,16,Tributary,2,2000,1.940114046,0.310185185,0.12037037,0.064814815,0.310185185,0,0.115740741,1,NA,1,0.12037037,0,0.615740741,1,1,0.12037037,0,0,0,0,0.65,0.791044776,0.328703704,1,0.060185185,6.476851852,0.359156627,0.018518519,0.134259259,0.060185185,0.166666667,0.185185185,-0.602996084,0.328703704,0.203703704,0.180555556,-0.916290732,N,47,216
501160006,2000,U,Above,3,16,Tributary,2,2000,1.207838575,0.725701944,0,0.036717063,0,0,0.079913607,0.986486486,0.868421053,0.46031746,0.109071274,0.042116631,0.103671706,9,4,0.068034557,0,0,5,0.041036717,0.748148148,0.952973721,0.010799136,9,0.057235421,5.036717063,0.396797066,0.010799136,0.10475162,0.014038877,0.76349892,0.089632829,0.010362787,0.087473002,0.032397408,0.115550756,-1.835244581,N,48,926
501170001,2000,U,Above,5,17,Tributary,2,2000,2.448120262,0.171296296,0.023148148,0.171296296,0,0,0.194444444,0.857142857,0.733333333,0.514285714,0.518518519,0.25,0.462962963,8,5,0.324074074,1,0.055555556,2,0.138888889,0.751677852,0.229166667,0.00462963,8,0.328703704,4.916666667,0.348333333,0.078703704,0.231481481,0.046296296,0.194444444,0.412037037,-0.683096845,0.333333333,0.097222222,0.337962963,-1.932211305,N,49,216
501180001,2000,U,Above,6,18,Tributary,2,2000,1.932725695,0.443298969,0.036082474,0.201030928,0,0,0.051546392,0.95,0.612903226,0.751091703,0.675257732,0.182989691,0.729381443,15,6,0.590206186,2,0.005154639,7,0.079896907,0.770588235,0.103448276,0.00257732,15,0.177835052,5.443298969,0.372926829,0.018041237,0.059278351,0.007731959,0.131443299,0.729381443,-2.520497595,0.177835052,0.06185567,0.25,-1.933933958,N,50,388
501180002,2000,U,Above,6,18,Tributary,2,2000,2.253160486,0.291457286,0.035175879,0.291457286,0.041457286,0,0.104271357,0.963855422,0.822429907,0.522058824,0.451005025,0.140703518,0.67839196,13,6,0.170854271,1,0.011306533,6,0.268844221,0.607445008,0.147058824,0.050251256,13,0.182160804,5.379396985,0.340355913,0.027638191,0.116834171,0.047738693,0.280150754,0.432160804,-1.412821115,0.381909548,0.104271357,0.39321608,-2.006028416,N,51,796
501180003,2000,U,Above,6,18,Tributary,2,2000,2.165338587,0.319327731,0.033613445,0.319327731,0.025210084,0,0.132352941,1,0.666666667,0.577922078,0.382352941,0.157563025,0.602941176,10,5,0.323529412,1,0.00210084,4,0.056722689,0.54491018,0.084337349,0.088235294,10,0.168067227,5.594537815,0.310104712,0.010504202,0.207983193,0.008403361,0.086134454,0.609243697,-1.088459917,0.258403361,0.052521008,0.451680672,-2.604170071,N,52,476
501180006,2000,U,Above,6,18,Tributary,2,2000,2.09838686,0.336956522,0.017391304,0.197826087,0.063043478,0,0.023913043,0.818181818,0.546391753,0.738095238,0.673913043,0.22173913,0.730434783,12,6,0.456521739,1,0.006521739,5,0.210869565,0.773067332,0.021505376,0.073913043,11,0.22173913,5.42173913,0.384299065,0.015217391,0.043478261,0.004347826,0.267391304,0.57173913,-2.583997552,0.341304348,0.034782609,0.217391304,-2.776487363,N,53,460
501180007,2000,U,Above,6,18,Tributary,2,2000,2.025825636,0.348111658,0.02134647,0.203612479,0.026272578,0.001642036,0.082101806,0.98,0.684210526,0.681672026,0.643678161,0.210180624,0.6863711,11,5,0.510673235,1,0.008210181,5,0.124794745,0.759689922,0.03125,0.034482759,10,0.213464696,5.272577997,0.358721311,0.009852217,0.096880131,0.008210181,0.234811166,0.596059113,-1.830545494,0.21182266,0.034482759,0.28407225,-2.66590458,N,54,609
501190009,2000,U,Above,2,19,Tributary,2,2000,1.15797185,0.710691824,0.113207547,0.710691824,0.012578616,0.025157233,0.018867925,1,NA,0,0.018867925,0.018867925,0.86163522,1,1,0.018867925,0,0,0,0,0.025862069,0.058333333,0.031446541,3,0.062893082,6.13836478,0.31,0.006289308,0.037735849,0.037735849,0.006289308,0.729559748,-3.012261576,0.050314465,0.188679245,0.729559748,-1.419084184,N,55,159
501020001,2001,L,Below,2,2,Tributary,3,2001,0.916607754,0.751381215,0.03038674,0.027624309,0.751381215,0.002762431,0.022099448,0,0.333333333,1,0.151933702,0.005524862,0.958563536,3,1,0.143646409,0,0,2,0.008287293,0.846153846,0.285714286,0.751381215,1,0.008287293,7.524861878,0.43,0.022099448,0,0.008287293,0.008287293,0.171270718,NA,0.759668508,0.038674033,0.027624309,-3.013431851,N,56,362
501040004,2001,L,Below,3,4,Tributary,3,2001,1.308207461,0.622512011,0.000686342,0.622512011,0.113932739,0.001372684,0.098146877,0.937062937,0.5,0.993055556,0.133150309,0.017844887,0.853809197,4,2,0.098833219,0,0,2,0.03431709,0.176203451,0.039194915,0.11461908,3,0.00754976,6.082361016,0.315303371,0,0.097460535,0.001372684,0.042553191,0.722031572,-2.004520672,0.154426905,0.006177076,0.715168154,-4.947182603,N,57,1457
501050001,2001,L,Below,4,5,Tributary,3,2001,0.584111202,0.837939698,0.837939698,0.126884422,0.001256281,0,0.005025126,0.5,NA,1,0.002512563,0,0.968592965,1,1,0.002512563,0,0,0,0,0.019417476,0.009803922,0.003768844,0,0,7.682160804,0.31,0.005025126,0.003768844,0,0.001256281,0.130653266,-3.54577861,0.005025126,0.837939698,0.129396985,1.829961211,N,58,796
501050004,2001,L,Below,4,5,Tributary,3,2001,1.456663065,0.433242507,0.307901907,0.138964578,0.433242507,0.008174387,0.016348774,0.833333333,1,1,0.068119891,0,0.95640327,2,1,0.019073569,0,0,1,0.049046322,0.328947368,0,0.452316076,1,0.002724796,7.452316076,0.31,0,0.035422343,0,0.049046322,0.158038147,-1.495493653,0.504087193,0.310626703,0.152588556,-0.748598485,N,59,367
501050005,2001,L,Below,4,5,Tributary,3,2001,1.465113742,0.562111801,0.010869565,0.562111801,0.01552795,0.00310559,0.111801242,0.930555556,1,0.666666667,0.24378882,0.01242236,0.822981366,5,4,0.037267081,0,0,1,0.206521739,0.302504817,0.044854881,0.026397516,5,0.029503106,5.690993789,0.323400605,0.013975155,0.121118012,0.01863354,0.209627329,0.596273292,-1.624705385,0.24068323,0.045031056,0.667701863,-3.004316017,N,60,644
501050008,2001,L,Below,4,5,Tributary,3,2001,1.60409156,0.427244582,0.027863777,0.284829721,0.013931889,0,0.119195046,0.987012987,1,1,0.475232198,0,0.801857585,2,1,0.047987616,0,0,1,0.427244582,0.625254582,0.051546392,0.054179567,3,0.012383901,5.585139319,0.347788945,0.007739938,0.157894737,0.009287926,0.427244582,0.334365325,-0.777704569,0.481424149,0.061919505,0.404024768,-2.660259537,N,61,646
